task_id,mturk_worker_id,subject_started_at,subject_finished_at,ip_address,experimental_arm,treatment,num_page_reloads,splash_views_before_starting,splash_views_after_starting,age,gender,urban_rural,highest_education,marital_status,employment_status,num_children,income,religion,belief_in_divine,race,participate_in_study,born_here,english_first_language,nfc_1,nfc_2,big_5_1,big_5_2,big_5_3,big_5_4,big_5_5,demographic_started_at,demographic_completed_at,study_num,study_started,study_name,response,study_finished,num_page_nav_away,outlier_data_point,turker_comments
56,A1I4CYG5YDFTYM,1352234463,1352234770,75.110.242.38,R,true,2,1,4,32,F,R,BS,M,UN,1,50000,EC,Y,WH,Y,Y,N,0,0,0,0,0,0,0,1352234528,0,0,1352234528,sunk_cost_theater,7.0,1352234563,0,false,The hit runs very slow because its as if the words are being typed on the screen and they appear much slower than I read. Also<com> there is quite a long pause when you are done with the scenerios and when the actual question comes up. Overall<com> this was very interesting<com> I have never done anything like this on Mturk before.
56,A1I4CYG5YDFTYM,1352234463,1352234770,75.110.242.38,R,true,2,1,4,32,F,R,BS,M,UN,1,50000,EC,Y,WH,Y,Y,N,0,0,0,0,0,0,0,1352234528,0,1,1352234563,priming_dilemma,1.0,1352234649,0,false,The hit runs very slow because its as if the words are being typed on the screen and they appear much slower than I read. Also<com> there is quite a long pause when you are done with the scenerios and when the actual question comes up. Overall<com> this was very interesting<com> I have never done anything like this on Mturk before.
56,A1I4CYG5YDFTYM,1352234463,1352234770,75.110.242.38,R,true,2,1,4,32,F,R,BS,M,UN,1,50000,EC,Y,WH,Y,Y,N,0,0,0,0,0,0,0,1352234528,0,2,1352234649,framing_beer,5.0,1352234709,0,false,The hit runs very slow because its as if the words are being typed on the screen and they appear much slower than I read. Also<com> there is quite a long pause when you are done with the scenerios and when the actual question comes up. Overall<com> this was very interesting<com> I have never done anything like this on Mturk before.
59,A3KI03BD866OSJ,1352234456,1352234702,71.133.0.49,S,false,2,1,2,26,M,U,MS,S,FT,0,20,NO,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352234506,0,0,1352234511,sunk_cost_theater,5.0,1352234540,0,false,The text should appear faster or in one chunk.  Easier to read and follow for faster readers.  
59,A3KI03BD866OSJ,1352234456,1352234702,71.133.0.49,S,false,2,1,2,26,M,U,MS,S,FT,0,20,NO,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352234506,0,1,1352234540,framing_beer,5.0,1352234606,1,false,The text should appear faster or in one chunk.  Easier to read and follow for faster readers.  
59,A3KI03BD866OSJ,1352234456,1352234702,71.133.0.49,S,false,2,1,2,26,M,U,MS,S,FT,0,20,NO,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352234506,0,2,1352234606,priming_dilemma,1.0,1352234676,0,false,The text should appear faster or in one chunk.  Easier to read and follow for faster readers.  
201,A2BI8BZTDSLX6H,1352236750,1352237057,66.67.61.176,R,true,2,1,3,29,F,R,MS,R,FT,0,65,OT,N,WH,Y,Y,Y,0,0,0,0,0,0,0,1352236804,0,0,1352236804,sunk_cost_theater,5.0,1352236848,0,false,The first question gave me a scale of 1-10 but there didn<qu>t seem to be any question to go along with the scale. I chose 5 in order to get to the next question.
201,A2BI8BZTDSLX6H,1352236750,1352237057,66.67.61.176,R,true,2,1,3,29,F,R,MS,R,FT,0,65,OT,N,WH,Y,Y,Y,0,0,0,0,0,0,0,1352236804,0,1,1352236848,framing_beer,10.0,1352236940,1,false,The first question gave me a scale of 1-10 but there didn<qu>t seem to be any question to go along with the scale. I chose 5 in order to get to the next question.
201,A2BI8BZTDSLX6H,1352236750,1352237057,66.67.61.176,R,true,2,1,3,29,F,R,MS,R,FT,0,65,OT,N,WH,Y,Y,Y,0,0,0,0,0,0,0,1352236804,0,2,1352236940,priming_dilemma,0.0,1352237029,1,false,The first question gave me a scale of 1-10 but there didn<qu>t seem to be any question to go along with the scale. I chose 5 in order to get to the next question.
210,A321UTTHJSC5PO,1352238404,1352238921,24.6.105.17,R,false,2,2,2,65,M,U,BS,M,UN,2,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352238526,0,0,1352238526,sunk_cost_theater,1.0,1352238565,0,false,Yes<com> I liked it.  The format of the printing showing word by word was nice and caught my attention.  There was one bug as I had to answer the last question twice. I had received an error message saying that <qu>something went wrong<qu>.  Everything else went fine. 
210,A321UTTHJSC5PO,1352238404,1352238921,24.6.105.17,R,false,2,2,2,65,M,U,BS,M,UN,2,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352238526,0,1,1352238565,priming_dilemma,1.0,1352238641,0,false,Yes<com> I liked it.  The format of the printing showing word by word was nice and caught my attention.  There was one bug as I had to answer the last question twice. I had received an error message saying that <qu>something went wrong<qu>.  Everything else went fine. 
210,A321UTTHJSC5PO,1352238404,1352238921,24.6.105.17,R,false,2,2,2,65,M,U,BS,M,UN,2,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352238526,0,2,1352238641,framing_beer,2.0,1352238760,0,false,Yes<com> I liked it.  The format of the printing showing word by word was nice and caught my attention.  There was one bug as I had to answer the last question twice. I had received an error message saying that <qu>something went wrong<qu>.  Everything else went fine. 
542,ALK8IERMYHU5J,1352240811,1352241137,76.88.180.15,R,true,2,1,1,31,M,U,BS,S,FT,0,65000,BU,N,AP,Y,Y,N,0,0,0,0,0,0,0,1352240888,0,0,1352240888,priming_dilemma,1.0,1352240967,0,false,I don<qu>t like waiting for the text.
542,ALK8IERMYHU5J,1352240811,1352241137,76.88.180.15,R,true,2,1,1,31,M,U,BS,S,FT,0,65000,BU,N,AP,Y,Y,N,0,0,0,0,0,0,0,1352240888,0,1,1352240967,framing_beer,5.0,1352241063,4,false,I don<qu>t like waiting for the text.
542,ALK8IERMYHU5J,1352240811,1352241137,76.88.180.15,R,true,2,1,1,31,M,U,BS,S,FT,0,65000,BU,N,AP,Y,Y,N,0,0,0,0,0,0,0,1352240888,0,2,1352241063,sunk_cost_theater,7.0,1352241101,0,false,I don<qu>t like waiting for the text.
560,A2PQP4P6LTWKER,1352240806,1352241602,69.108.49.196,R,false,2,1,1,31,F,U,HS,M,FT,1,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352240928,0,0,1352240928,sunk_cost_theater,9.0,1352241411,1,false,I like the hit.  I don<qu>t drink beer but it was easy
560,A2PQP4P6LTWKER,1352240806,1352241602,69.108.49.196,R,false,2,1,1,31,F,U,HS,M,FT,1,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352240928,0,1,1352241411,priming_dilemma,1.0,1352241484,0,false,I like the hit.  I don<qu>t drink beer but it was easy
560,A2PQP4P6LTWKER,1352240806,1352241602,69.108.49.196,R,false,2,1,1,31,F,U,HS,M,FT,1,20,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352240928,0,2,1352241484,framing_beer,10.0,1352241575,2,false,I like the hit.  I don<qu>t drink beer but it was easy
565,A28HBFPKMYL2W8,1352243605,1352243849,173.51.117.178,R,true,2,1,1,21,F,R,SC,R,ST,0,11,BU,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352243670,0,0,1352243671,framing_beer,5.0,1352243718,0,false,everything is good.
565,A28HBFPKMYL2W8,1352243605,1352243849,173.51.117.178,R,true,2,1,1,21,F,R,SC,R,ST,0,11,BU,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352243670,0,1,1352243718,sunk_cost_theater,7.0,1352243752,0,false,everything is good.
565,A28HBFPKMYL2W8,1352243605,1352243849,173.51.117.178,R,true,2,1,1,21,F,R,SC,R,ST,0,11,BU,Y,AP,Y,Y,Y,0,0,0,0,0,0,0,1352243670,0,2,1352243752,priming_dilemma,1.0,1352243835,1,false,everything is good.
622,A3NUWV8UAHEDQ1,1352242249,1352242545,76.21.216.215,S,false,2,1,1,41,F,R,BS,M,UN,2,0,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352242317,0,0,1352242325,framing_beer,10.0,1352242370,0,false,Interesting survey<com> the fish scenario of information was a bit tedious to read considering there was no question to answer for it.  What<qu>s with the partner<com> when no question is given for that as well.  Rather odd I<qu>d say.  :)
622,A3NUWV8UAHEDQ1,1352242249,1352242545,76.21.216.215,S,false,2,1,1,41,F,R,BS,M,UN,2,0,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352242317,0,1,1352242370,sunk_cost_theater,0.0,1352242400,0,false,Interesting survey<com> the fish scenario of information was a bit tedious to read considering there was no question to answer for it.  What<qu>s with the partner<com> when no question is given for that as well.  Rather odd I<qu>d say.  :)
622,A3NUWV8UAHEDQ1,1352242249,1352242545,76.21.216.215,S,false,2,1,1,41,F,R,BS,M,UN,2,0,RA,Y,WH,Y,Y,Y,0,0,0,0,0,0,0,1352242317,0,2,1352242400,priming_dilemma,1.0,1352242470,0,false,Interesting survey<com> the fish scenario of information was a bit tedious to read considering there was no question to answer for it.  What<qu>s with the partner<com> when no question is given for that as well.  Rather odd I<qu>d say.  :)
